音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
2	1101	96	0	0		0
4	1101	263	0	0		0
3	1101	430	0	0		0
1	1101	763	0	0		0
2	1101	930	0	0		0
3	1101	1096	0	0		0
2	1101	1430	0	0		0
3	1101	1596	0	0		0
4	1101	1763	0	0		0
3	1101	1930	0	0		0
2	1101	2096	0	0		0
3	1101	2430	0	0		0
1	1101	2430	0	0		0
2	1101	2763	0	0		0
4	1101	2763	0	0		0
3	1101	3096	0	0		0
4	1101	3263	0	0		0
2	1101	3430	0	0		0
3	1101	3763	0	0		0
1	1101	4096	0	0		0
2	1101	4430	0	0		0
3	1201	4763	5430	0		0
1	1201	5430	6096	0		0
2	1201	6096	6763	0		0
3	1201	6763	7430	0		0
4	1101	7430	0	0		0
3	1101	7596	0	0		0
2	1101	7763	0	0		0
1	1101	8096	0	0		0
3	1101	8096	0	0		0
2	1101	8430	0	0		0
4	1101	8596	0	0		0
3	1101	8763	0	0		0
1	1101	9096	0	0		0
4	1101	9430	0	0		0
1	1101	9763	0	0		0
4	1201	10096	10763	0		0
1	1101	10763	0	0		0
2	1101	10930	0	0		0
4	1101	11096	0	0		0
3	1101	11263	0	0		0
1	1101	11430	0	0		0
2	1101	11596	0	0		0
3	1101	11763	0	0		0
4	1101	11930	0	0		0
1	1101	12096	0	0		0
3	1101	12096	0	0		0
2	1101	12430	0	0		0
3	1101	12596	0	0		0
1	1101	12763	0	0		0
3	1101	13096	0	0	2	0
2	1101	13430	0	0	2	0
4	1101	13430	0	0		0
3	1101	13763	0	0		0
4	1101	13930	0	0		0
2	1101	14096	0	0		0
4	1101	14430	0	0		0
1	1101	14763	0	0		0
3	1101	15096	0	0		0
2	1201	15430	16096	0		0
4	1201	16096	16763	0		0
3	1201	16763	17430	0		0
2	1201	17430	18096	0		0
1	1101	18096	0	0		0
4	1101	18263	0	0		0
2	1101	18430	0	0		0
1	1101	18763	0	0		0
3	1101	18763	0	0		0
2	1101	19096	0	0		0
4	1101	19263	0	0		0
3	1101	19430	0	0		0
1	1101	19763	0	0		0
4	1101	20096	0	0		0
3	1101	20430	0	0		0
2	1201	20763	21430	0		0
1	1101	21430	0	0		0
4	1101	21596	0	0		0
3	1101	21763	0	0		0
4	1101	21930	0	0		0
1	1101	22096	0	0		0
2	1101	22263	0	0		0
3	1101	22430	0	0		0
2	1101	22596	0	0		0
1	1101	22763	0	0		0
3	1101	22763	0	0		0
2	1101	23096	0	0		0
4	1101	23263	0	0		0
3	1101	23430	0	0		0
2	1101	23763	0	0		0
4	1101	23763	0	0		0
1	1101	24096	0	0	3	0
2	1101	24430	0	0		0
1	1201	24763	25430	0		0
2	1101	25430	0	0		0
3	1101	25763	0	0		0
4	1201	26096	26763	0		0
1	1101	26763	0	0		0
2	1101	27096	0	0		0
3	1101	27263	0	0		0
1	1101	27430	0	0		0
3	1101	27596	0	0		0
2	1101	27763	0	0		0
4	1101	28096	0	0		0
3	1101	28430	0	0		0
2	1101	28596	0	0		0
4	1101	28763	0	0		0
1	1101	28930	0	0		0
2	1101	29096	0	0		0
1	1101	29430	0	0		0
3	1101	29430	0	0		0
2	1101	29763	0	0		0
1	1201	30096	30763	0		0
4	1101	30763	0	0		0
2	1101	30763	0	0		0
3	1101	31096	0	0		0
4	1201	31430	32096	0		0
1	1101	32096	0	0		0
2	1101	32263	0	0		0
1	1101	32430	0	0		0
2	1101	32763	0	0		0
4	1101	32930	0	0		0
3	1101	33096	0	0		0
1	1101	33263	0	0		0
2	1101	33430	0	0		0
4	1101	33596	0	0		0
3	1101	33763	0	0		0
1	1101	33930	0	0		0
2	1101	34096	0	0		0
3	1101	34430	0	0		0
1	1101	34430	0	0		0
4	1101	34763	0	0	1	0
3	1101	35096	0	0		0
2	1201	35430	36096	0		0
1	1101	36096	0	0		0
2	1101	36430	0	0		0
3	1201	36763	37430	0		0
1	1101	37430	0	0		0
2	1101	37596	0	0		0
4	1101	37763	0	0		0
3	1101	37930	0	0		0
1	1101	38096	0	0		0
2	1101	38263	0	0		0
4	1101	38430	0	0		0
2	1101	38763	0	0		0
4	1101	38930	0	0		0
3	1101	39096	0	0		0
1	1101	39263	0	0		0
2	1101	39430	0	0		0
1	1101	39596	0	0		0
3	1101	39763	0	0		0
1	1101	40096	0	0		0
4	1101	40430	0	0		0
1	1201	40763	41430	0		0
4	1101	41430	0	0		0
1	1101	41763	0	0		0
4	1201	42096	42763	0		0
1	1101	42763	0	0		0
2	1101	42930	0	0		0
3	1101	43096	0	0		0
2	1101	43430	0	0		0
1	1101	43596	0	0		0
4	1101	43763	0	0		0
3	1101	43930	0	0		0
2	1101	44096	0	0		0
4	1101	44263	0	0		0
3	1101	44430	0	0		0
4	1101	44596	0	0		0
1	1101	44763	0	0		0
3	1101	45096	0	0		0
