音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式	中间轨道	中间时间
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm	TurningTrack	TurningTime
1	1101	407	0	0		0		
3	1201	898	1882	0		0		
2	1101	1882	0	0		0		
4	1101	1882	0	0		0		
3	1101	2128	0	0		0		
2	1101	2374	0	0		0		
3	1101	2620	0	0		0		
2	1101	2866	0	0		0		
4	1101	3112	0	0		0		
1	1101	3358	0	0		0		
4	1101	3603	0	0		0		
1	1101	3849	0	0		0		
2	1101	4341	0	0		0		
4	1101	4587	0	0		0		
3	1201	4833	5325	0		0		
2	1201	5325	5817	0		0		
4	1101	5817	0	0		0		
3	1101	6308	0	0		0		
2	1101	6554	0	0		0		
1	1101	6800	0	0		0		
2	1101	7046	0	0		0		
3	1101	7292	0	0		0		
2	1101	7538	0	0		0		
1	1101	7784	0	0		0		
2	1101	8276	0	0		0		
4	1101	8521	0	0		0		
1	1201	8767	9259	0		0		
3	1201	9259	9751	0		0		
2	1101	9751	0	0		0		
4	1101	9751	0	0		0		
3	1101	10243	0	0		0		
2	1101	10489	0	0		0		
4	1101	10735	0	0		0		
3	1101	10980	0	0		0		
2	1101	11226	0	0		0		
3	1101	11472	0	0		0		
1	1101	11718	0	0		0		
2	1101	12210	0	0		0		
4	1101	12456	0	0		0		
3	1201	12702	13194	0		0		
1	1201	13194	13685	0		0		
2	1101	13685	0	0		0		
4	1101	13685	0	0		0		
3	1101	13931	0	0		0		
2	1101	14177	0	0		0		
1	1101	14423	0	0		0		
3	1101	14669	0	0		0		
2	1101	14915	0	0		0		
1	1101	15161	0	0		0		
2	1101	15407	0	0		0		
4	1201	15653	16144	0		0		
3	1201	16144	16636	0		0		
2	1201	16636	17620	0		0		
1	1101	17620	0	0	2	0		
3	1101	17620	0	0	2	0		
4	1101	17866	0	0		0		
2	1101	18112	0	0		0		
1	1101	18358	0	0		0		
3	1101	18603	0	0		0		
4	1101	18849	0	0		0		
1	1101	19095	0	0		0		
2	1201	19341	19833	0		0		
1	1101	19833	0	0		0		
4	1101	20079	0	0		0		
3	1101	20325	0	0		0		
2	1301	20571	21554	0		0	3	21308
2	1101	21554	0	0		0			
1	1101	21800	0	0		0		
3	1101	22046	0	0		0		
2	1101	22292	0	0		0		
4	1101	22538	0	0		0		
3	1101	22784	0	0		0		
1	1101	23030	0	0		0		
2	1201	23276	23767	0		0		
4	1101	23767	0	0		0		
1	1101	24013	0	0		0		
2	1101	24259	0	0		0		
4	1301	24505	25489	0		0	3	25243
2	1101	25489	0	0		0			
1	1101	25735	0	0		0		
3	1101	25980	0	0		0		
1	1101	26226	0	0		0		
2	1101	26472	0	0		0		
3	1101	26718	0	0		0		
2	1101	26964	0	0		0		
1	1201	27210	27702	0		0		
2	1101	27702	0	0		0		
