音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
2	1101	30	0	0		0
4	1101	565	0	0		0
2	1201	1137	1708	0		0
4	1201	1708	2280	0		0
3	1201	2280	2851	0		0
1	1101	2851	0	0		0
3	1201	3422	3994	0		0
1	1201	3994	4565	0		0
4	1201	4565	5137	0		0
3	1101	5137	0	0		0
2	1201	5708	6280	0		0
1	1201	6280	6851	0		0
4	1201	6851	7422	0		0
3	1101	7422	0	0		0
1	1201	7994	8565	0		0
2	1201	8565	9137	0		0
1	1201	9137	9708	0		0
2	1101	9708	0	0		0
3	1201	10280	10851	0		0
4	1201	10851	11422	0		0
1	1201	11422	11994	0		0
2	1101	11994	0	0		0
3	1201	12565	13137	0		0
2	1201	13137	13708	0		0
4	1101	13708	0	0	2	0
2	1101	14280	0	0		0
4	1101	14851	0	0		0
2	1201	15422	15994	0		0
1	1101	15994	0	0		0
4	1101	16565	0	0		0
1	1101	17137	0	0		0
2	1201	17708	18280	0		0
3	1101	18280	0	0		0
1	1101	18280	0	0		0
2	1101	18851	0	0		0
1	1101	19422	0	0		0
3	1101	19422	0	0		0
2	1101	19994	0	0		0
1	1101	20565	0	0		0
3	1101	20565	0	0		0
2	1101	21137	0	0		0
4	1101	21708	0	0		0
3	1101	22280	0	0		0
4	1101	22851	0	0	3	0
2	1101	22851	0	0	3	0
3	1101	23422	0	0		0
1	1101	23994	0	0		0
4	1101	24565	0	0		0
1	1101	25137	0	0		0
3	1101	25708	0	0		0
2	1201	26280	27422	0		0
1	1101	27422	0	0		0
3	1101	27422	0	0		0
2	1101	27994	0	0		0
4	1101	28565	0	0		0
2	1101	29137	0	0		0
3	1101	29708	0	0		0
2	1101	30280	0	0		0
3	1201	30851	31994	0		0
2	1101	31994	0	0		0
4	1101	31994	0	0		0
3	1101	32565	0	0		0
2	1101	33137	0	0		0
3	1101	33708	0	0		0
2	1201	34280	34851	0		0
3	1201	34851	35422	0		0
2	1201	35422	36565	0		0
1	1101	36565	0	0		0
3	1101	36565	0	0		0
2	1101	37137	0	0		0
3	1101	37708	0	0		0
2	1101	38280	0	0		0
1	1201	38851	39422	0		0
2	1201	39422	39994	0		0
4	1201	39994	40565	0		0
3	1201	40565	41137	0		0
2	1201	41137	41708	0	1	0
4	1101	41708	0	0		0
1	1201	42280	42851	0		0
2	1201	42851	43422	0		0
3	1101	43422	0	0		0
1	1101	43994	0	0		0
3	1201	44565	45137	0		0
2	1201	45137	45708	0		0
4	1101	45708	0	0		0
2	1101	46280	0	0		0
3	1201	46851	47422	0		0
2	1201	47422	47994	0		0
1	1201	47994	48565	0		0
2	1201	48565	49137	0		0
3	1201	49137	49708	0		0
4	1201	49708	50280	0		0
1	1101	50280	0	0	2	0
3	1101	50280	0	0	2	0
2	1101	50851	0	0		0
3	1101	51137	0	0		0
4	1201	51422	51994	0		0
3	1201	51994	52565	0		0
2	1101	52565	0	0		0
4	1101	52565	0	0		0
3	1101	53137	0	0		0
2	1101	53422	0	0		0
1	1201	53708	54280	0		0
2	1201	54280	54851	0		0
1	1101	54851	0	0		0
3	1101	54851	0	0		0
2	1101	55422	0	0		0
3	1101	55708	0	0		0
4	1201	55994	56565	0		0
3	1201	56565	57137	0		0
2	1101	57137	0	0		0
4	1101	57137	0	0		0
3	1101	57708	0	0		0
2	1101	57994	0	0		0
1	1201	58280	58851	0		0
2	1201	58851	59422	0		0
3	1101	59422	0	0		0
4	1101	59994	0	0		0
1	1101	60280	0	0		0
3	1201	60565	61137	0		0
2	1201	61137	61708	0		0
